,Book,Author,Edition,Ratings_out_of_5,Rating_QTY
0,Agatha Christie,Laura Thompson,21 editions,4.04,1789.0
1,Agatha Christie,Gillian Gill,10 editions,4.25,1920.0
2,Agatha Christie's Secret Notebooks,John  Curran,27 editions,4.13,6195.0
3,And Then There Were None,Agatha Christie,600 editions,4.25,629767.0
4,"Murder on the Orient Express (Hercule Poirot, #10)",Agatha Christie,630 editions,4.16,293313.0
5,A is for Arsenic: The Poisons of Agatha Christie,Kathryn Harkup,2 editions,4.08,1084.0
6,"The Mysterious Affair at Styles (Hercule Poirot, #1)",Agatha Christie,1568 editions,3.99,201518.0
7,The Agatha Christie Book Club (Agatha Christie Book Club #1),C.A. Larmer,5 editions,3.66,725.0
8,Murder at the Vicarage (Miss Marple #1),Agatha Christie,269 editions,4.05,122445.0
9,Agatha Christie: A Biography,Janet Morgan,12 editions,4.19,1063.0
10,"The Murder of Roger Ackroyd (Hercule Poirot, #4)",Agatha Christie,372 editions,4.23,114500.0
11,"Death on the Nile (Hercule Poirot, #17)",Agatha Christie,344 editions,4.09,95067.0
12,"Agatha Christie: Agatha Christie Characters, Works by Agatha Christie, Works Inspired by Agatha Christie, Agatha Christie's Poirot",Books LLC,1 edition,3.7645,16.5
13,A Talent for Murder (Agatha Christie #1),Andrew    Wilson,25 editions,3.49,1216.0
14,The Agatha Christie Hour,Agatha Christie,6 editions,4.28,588.0
15,"The Man in the Brown Suit (Colonel Race, #1)",Agatha Christie,178 editions,3.96,70248.0
16,"The A.B.C. Murders (Hercule Poirot, #13)",Agatha Christie,313 editions,3.7645,38020.0
17,"The New Bedside, Bathtub and Armchair Companion to Agatha Christie",Dick Riley,Pam McAllister,4.25,11991.0
18,Agatha Christie and the Eleven Missing Days,Jared Cade,11 editions,4.13,1329.0
19,"The Body in the Library (Miss Marple, #3)",Agatha Christie,254 editions,3.85,53481.0
20,Agatha: The Real Life of Agatha Christie,Anne Martinetti,Guillaume Lebeau,3.66,893.0
21,"Evil Under the Sun (Hercule Poirot, #24)",Agatha Christie,242 editions,3.96,39301.0
22,"A Murder Is Announced (Miss Marple, #5)",Agatha Christie,242 editions,3.98,37522.0
23,Agatha Christie at Home,Hilary Macaskill,2 editions,4.36,316.0
24,The Secret Adversary (Tommy and Tuppence #1),Agatha Christie,937 editions,3.84,33607.0
25,"The Murder on the Links (Hercule Poirot, #2)",Agatha Christie,295 editions,3.82,33857.0
26,"4:50 from Paddington (Miss Marple, #8)",Agatha Christie,273 editions,3.95,36229.0
27,Crooked House,Agatha Christie,227 editions,4.02,31138.0
28,"Poirot Investigates (Hercule Poirot, #3)",Agatha Christie,13 editions,4.05,36960.0
29,"Peril at End House (Hercule Poirot, #8)",Agatha Christie,265 editions,3.92,30849.0
30,"Hercule Poirot's Christmas (Hercule Poirot, #20)",Agatha Christie,236 editions,3.93,31149.0
31,"Murder in Mesopotamia (Hercule Poirot, #14)",Agatha Christie,13 editions,3.89,30572.0
32,"Appointment with Death (Hercule Poirot, #19)",Agatha Christie,247 editions,3.86,29511.0
33,"Cards on the Table (Hercule Poirot, #15)",Agatha Christie,209 editions,3.92,28874.0
34,"Five Little Pigs (Hercule Poirot, #25)",Agatha Christie,242 editions,3.98,32637.0
35,"The Mystery of the Blue Train (Hercule Poirot, #6)",Agatha Christie,251 editions,3.79,28139.0
